PMU4_L1:563,PMU4_L1:564,PMU4_L1:567,PMU4_L1:568,PMU4_L1:569,PMU4_L1:570,PMU4_L2:603,PMU4_L2:604,PMU4_L2:607,PMU4_L2:608,PMU4_L2:609,PMU4_L2:610,PMU5_L1:443,PMU5_L1:444,PMU5_L1:447,PMU5_L1:448,PMU5_L1:449,PMU5_L1:450,PMU5_L3:403,PMU5_L3:404,PMU5_L3:407,PMU5_L3:408,PMU5_L3:409,PMU5_L3:410,PMU6_L2:523,PMU6_L2:524,PMU6_L2:527,PMU6_L2:528,PMU6_L2:529,PMU6_L2:530,PMU6_L4:483,PMU6_L4:484,PMU6_L4:487,PMU6_L4:488,PMU6_L4:489,PMU6_L4:490,PMU7_L5:239,PMU7_L5:240,PMU7_L5:275,PMU7_L5:276,PMU7_L5:277,PMU7_L5:278,PMU8_L5:203,PMU8_L5:204,PMU8_L5:279,PMU8_L5:280,PMU8_L5:281,PMU8_L5:282,PMU8_L6:283,PMU8_L6:284,PMU8_L6:319,PMU8_L6:320,PMU8_L6:321,PMU8_L6:322,PMU9_L4:363,PMU9_L4:364,PMU9_L4:399,PMU9_L4:400,PMU9_L4:401,PMU9_L4:402,PMU9_L6:323,PMU9_L6:324,PMU9_L6:359,PMU9_L6:360,PMU9_L6:361,PMU9_L6:362,PPA:163,PPA:164,PPA:166,PPA:167,PPA:168,PPA:169
60,7.01E-05,136197.1406,-91.16159229,115.2658691,-120.3454743,60,7.01E-05,136197.1406,-91.16159229,75.5883255,-93.2010253,60,6.98E-05,132159.8281,-92.93485966,141.9582672,43.57741287,60,6.98E-05,132159.8281,-92.93485966,214.1547394,79.44354899,60,6.99E-05,134425.1719,-92.63800598,86.49488068,58.95325469,60,6.99E-05,134425.1719,-92.63800598,150.7887268,74.62953604,60,6.99E-05,136187.2656,-85.23369843,187.0352173,-84.57220827,60,6.98E-05,134840.4688,-88.22750011,189.4498138,83.81724697,60,6.98E-05,134840.4688,-88.22750011,84.79266357,46.44937081,60,7.01E-05,137055.2813,-86.98964444,154.1692505,-70.37312608,60,7.01E-05,137055.2813,-86.98964444,59.43009567,-94.59337302,60,6.99E-05,136187.2656,-85.23369843,212.7567749,-79.65795546
60,-0.000160806,136197.1563,-91.16158546,115.2658386,-120.3454743,60,-0.000160806,136197.1563,-91.16158546,75.58831787,-93.20100481,60,-0.000161139,132159.8438,-92.93485283,141.9582367,43.57741628,60,-0.000161139,132159.8438,-92.93485283,214.1547394,79.44354216,60,-0.000161012,134425.1719,-92.63799915,86.49485779,58.95326152,60,-0.000161012,134425.1719,-92.63799915,150.7887268,74.62953604,60,-0.000160993,136187.2813,-85.2336916,187.0352173,-84.57220827,60,-0.000161105,134840.4844,-88.22750011,189.4498138,83.81724697,60,-0.000161105,134840.4844,-88.22750011,84.79264832,46.44936739,60,-0.000160856,137055.2813,-86.98963761,154.1692352,-70.37312608,60,-0.000160856,137055.2813,-86.98963761,59.43008041,-94.59336619,60,-0.000160993,136187.2813,-85.2336916,212.7567749,-79.65795546
60,8.79E-05,136197.2188,-91.16158546,115.2658615,-120.3454606,60,8.79E-05,136197.2188,-91.16158546,75.58833313,-93.20099115,60,8.76E-05,132159.9063,-92.93485283,141.9582672,43.5774197,60,8.76E-05,132159.9063,-92.93485283,214.1548157,79.44354216,60,8.77E-05,134425.2344,-92.63799915,86.49488068,58.95326835,60,8.77E-05,134425.2344,-92.63799915,150.7887726,74.62952921,60,8.77E-05,136187.3438,-85.2336916,187.0352783,-84.57220144,60,8.76E-05,134840.5469,-88.22750011,189.4498749,83.8172538,60,8.76E-05,134840.5469,-88.22750011,84.7926712,46.44936056,60,8.79E-05,137055.3438,-86.98963761,154.1692963,-70.37312608,60,8.79E-05,137055.3438,-86.98963761,59.43008804,-94.59335936,60,8.77E-05,136187.3438,-85.2336916,212.7568512,-79.65795546
60,7.02E-05,136197.1719,-91.16158546,115.2657852,-120.3454606,60,7.02E-05,136197.1719,-91.16158546,75.58829498,-93.20097749,60,6.98E-05,132159.8594,-92.93485283,141.9581757,43.5774197,60,6.98E-05,132159.8594,-92.93485283,214.1547241,79.44354216,60,7.00E-05,134425.1875,-92.63799915,86.49482727,58.95327518,60,7.00E-05,134425.1875,-92.63799915,150.7887115,74.62952238,60,7.00E-05,136187.2969,-85.2336916,187.035202,-84.57220144,60,6.99E-05,134840.5,-88.22750011,189.4497986,83.8172538,60,6.99E-05,134840.5,-88.22750011,84.79262543,46.44935715,60,7.01E-05,137055.2969,-86.98963761,154.16922,-70.37312608,60,7.01E-05,137055.2969,-86.98963761,59.4300499,-94.59335253,60,7.00E-05,136187.2969,-85.2336916,212.7567596,-79.65795546
60,-0.000160778,136197.1719,-91.16158546,115.2657623,-120.345447,60,-0.000160778,136197.1719,-91.16158546,75.58828735,-93.20096383,60,-0.000161102,132159.8594,-92.93485283,141.9581604,43.57742311,60,-0.000161102,132159.8594,-92.93485283,214.1547241,79.44353533,60,-0.000160979,134425.2031,-92.63799915,86.49481201,58.95328201,60,-0.000160979,134425.2031,-92.63799915,150.7887115,74.62952238,60,-0.000160952,136187.3125,-85.2336916,187.035202,-84.57219461,60,-0.000161063,134840.5156,-88.22750011,189.4497986,83.8172538,60,-0.000161063,134840.5156,-88.22750011,84.7926178,46.44935715,60,-0.000160819,137055.3125,-86.98963761,154.16922,-70.37312608,60,-0.000160819,137055.3125,-86.98963761,59.43003845,-94.5933457,60,-0.000160952,136187.3125,-85.2336916,212.7567596,-79.65795546
60,8.79E-05,136197.2344,-91.16158546,115.2657852,-120.3454333,60,8.79E-05,136197.2344,-91.16158546,75.58831024,-93.20095017,60,8.76E-05,132159.9219,-92.93485283,141.9581909,43.57742653,60,8.76E-05,132159.9219,-92.93485283,214.1548157,79.44353533,60,8.78E-05,134425.25,-92.63799915,86.4948349,58.95329567,60,8.78E-05,134425.25,-92.63799915,150.7887726,74.62951555,60,8.78E-05,136187.3594,-85.2336916,187.0352631,-84.57219461,60,8.77E-05,134840.5625,-88.22750011,189.4498596,83.8172538,60,8.77E-05,134840.5625,-88.22750011,84.79264069,46.44935373,60,8.79E-05,137055.375,-86.98963761,154.1692657,-70.37312608,60,8.79E-05,137055.375,-86.98963761,59.4300499,-94.59333887,60,8.78E-05,136187.3594,-85.2336916,212.7568359,-79.65795546
60,7.02E-05,136197.1875,-91.16158546,115.2657242,-120.3454333,60,7.02E-05,136197.1875,-91.16158546,75.58827209,-93.20093651,60,6.99E-05,132159.875,-92.93485283,141.9581146,43.57742994,60,6.99E-05,132159.875,-92.93485283,214.1547241,79.44353533,60,7.00E-05,134425.2031,-92.63799915,86.49478912,58.9533025,60,7.00E-05,134425.2031,-92.63799915,150.7887115,74.62951555,60,7.00E-05,136187.3281,-85.2336916,187.0351868,-84.57219461,60,6.99E-05,134840.5313,-88.22750011,189.4497833,83.8172538,60,6.99E-05,134840.5313,-88.22750011,84.79259491,46.44935032,60,7.02E-05,137055.3281,-86.98963761,154.1692047,-70.37312608,60,7.02E-05,137055.3281,-86.98963761,59.43001938,-94.59333887,60,7.00E-05,136187.3281,-85.2336916,212.7567444,-79.65795546
60,-0.00016075,136197.1875,-91.16158546,115.2657089,-120.3454333,60,-0.00016075,136197.1875,-91.16158546,75.58827209,-93.20092285,60,-0.000161061,132159.875,-92.934846,141.9580994,43.57743336,60,-0.000161061,132159.875,-92.934846,214.1547241,79.44353533,60,-0.000160942,134425.2188,-92.63799232,86.49478149,58.95330933,60,-0.000160942,134425.2188,-92.63799232,150.7886963,74.62950872,60,-0.00016091,136187.3281,-85.2336916,187.0351868,-84.57219461,60,-0.000161019,134840.5313,-88.22750011,189.4497833,83.8172538,60,-0.000161019,134840.5313,-88.22750011,84.79258728,46.4493469,60,-0.000160782,137055.3281,-86.98963761,154.1691895,-70.37312608,60,-0.000160782,137055.3281,-86.98963761,59.43000793,-94.59333204,60,-0.00016091,136187.3281,-85.2336916,212.7567444,-79.65795546
60,8.80E-05,136197.25,-91.16158546,115.2657394,-120.3454197,60,8.80E-05,136197.25,-91.16158546,75.58829498,-93.20091602,60,8.77E-05,132159.9375,-92.934846,141.9581299,43.57743336,60,8.77E-05,132159.9375,-92.934846,214.1548004,79.4435285,60,8.78E-05,134425.2656,-92.63799232,86.49480438,58.95331616,60,8.78E-05,134425.2656,-92.63799232,150.7887573,74.62950872,60,8.78E-05,136187.3906,-85.2336916,187.0352478,-84.57218777,60,8.77E-05,134840.5938,-88.22750011,189.4498444,83.8172538,60,8.77E-05,134840.5938,-88.22750011,84.79261017,46.44934349,60,8.79E-05,137055.3906,-86.98963761,154.1692505,-70.37312608,60,8.79E-05,137055.3906,-86.98963761,59.43002319,-94.59333204,60,8.78E-05,136187.3906,-85.2336916,212.7568054,-79.65795546
60,7.02E-05,136197.2031,-91.16158546,115.2656784,-120.3454197,60,7.02E-05,136197.2031,-91.16158546,75.58826447,-93.20090236,60,6.99E-05,132159.8906,-92.934846,141.9580688,43.57743677,60,6.99E-05,132159.8906,-92.934846,214.1547089,79.4435285,60,7.00E-05,134425.2188,-92.63799232,86.49475861,58.95331616,60,7.00E-05,134425.2188,-92.63799232,150.7886963,74.62950189,60,7.01E-05,136187.3438,-85.2336916,187.0351715,-84.57218777,60,7.00E-05,134840.5469,-88.22750011,189.4497681,83.81726063,60,7.00E-05,134840.5469,-88.22750011,84.79257202,46.44934007,60,7.02E-05,137055.3438,-86.98963761,154.1691742,-70.37312608,60,7.02E-05,137055.3438,-86.98963761,59.42999268,-94.59332521,60,7.01E-05,136187.3438,-85.2336916,212.7567291,-79.65795546
